area;upm;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;estrato;fexp;periodo
1;010150019903;2;2;2;3;2;2;2;2;1;2;3;3;3;3;3;2;2;2;2;2;2;2;2;2712;113,349432337628;202104
1;010150019903;3;3;3;2;4;3;4;2;2;1;3;3;3;3;3;3;2;2;2;3;3;3;3;2712;174,841461814387;202104
1;010150019903;2;2;2;2;3;2;3;2;2;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2712;90,8509065666257;202104
1;010150020803;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2;2;2;2;2;3;2;3;2;2713;131,31849723738;202104
1;010150020803;2;2;2;2;4;2;4;2;2;2;3;3;3;2;2;2;2;2;2;3;2;3;2;2713;187,537735333516;202104
1;010150020803;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;3;3;3;3;2713;131,31849723738;202104
1;010150020803;2;2;1;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;3;2;3;2;2713;125,634202514238;202104
1;010150020803;2;2;1;1;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;3;1;2;1;2713;131,31849723738;202104
1;010150020803;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;3;3;3;3;2713;141,369568440321;202104
1;010150020803;2;2;1;1;3;2;3;2;2;2;2;3;2;3;2;3;2;2;2;3;1;3;1;2713;154,183806461264;202104
1;010150021902;2;2;2;2;3;2;3;2;2;2;3;2;3;3;2;2;2;2;2;3;2;3;3;2711;127,924093181052;202104
1;010150021902;2;2;2;2;2;2;2;2;2;2;3;3;3;2;2;2;2;2;2;3;2;3;3;2711;118,82896625013;202104
1;010150021902;2;2;2;2;2;2;2;2;2;2;3;2;2;1;2;2;2;2;2;3;2;3;1;2711;118,82896625013;202104
1;010150021902;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2;2;2;2;2;3;3;3;3;2711;132,729470264314;202104
1;010150021902;2;2;2;2;2;2;2;2;2;2;3;2;3;3;3;2;2;2;2;3;3;3;3;2711;158,453860943037;202104
1;010150021902;2;2;2;2;3;2;3;2;2;2;3;3;2;2;2;3;2;2;2;3;3;3;2;2711;148,256042550788;202104
1;010150021902;2;2;2;2;3;2;3;2;2;2;3;3;3;3;2;2;2;2;2;3;3;3;3;2711;118,82896625013;202104
1;010150023003;3;3;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;121,982035504081;202104
1;010150023003;3;2;3;2;2;2;2;2;1;1;3;3;3;3;3;3;2;2;2;3;3;3;3;2713;146,680015186989;202104
1;010150023003;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;105,253323964133;202104
1;010150023003;3;3;2;1;2;1;1;1;1;1;3;3;2;2;2;2;2;2;2;3;3;3;3;2713;170,325573288789;202104
1;010150023003;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;163,838509485555;202104
1;010150023003;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;131,31849723738;202104
1;010150023003;3;3;1;1;1;1;1;2;2;3;3;3;3;3;3;3;2;2;1;3;3;3;3;2713;154,183806461264;202104
1;010150023601;2;2;2;2;2;2;2;2;1;1;3;3;2;2;2;2;2;2;2;3;1;2;2;2711;102,813067482549;202104
1;010150023601;3;3;3;3;2;2;2;2;2;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2711;109,793019941591;202104
1;010150023601;3;1;2;2;2;2;2;2;2;2;2;3;3;3;2;2;2;2;2;2;1;2;3;2711;102,813067482549;202104
1;010150023601;3;3;2;2;2;2;2;2;1;1;3;3;3;3;3;3;2;2;2;3;3;3;3;2711;120,153482394623;202104
